"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Q7",0.532646777278968,0.555412300175657,0.282829981154646,-0.0578413522958303,0.0504228811253257
"Q8",0.471113354734527,0.593717655789591,0.309620800172808,-0.34131362175933,0.239351542146432
"Q9",0.645902418780016,0.162754764532492,-0.0124026999863034,0.120602102506307,-0.0151246969875072
"Q10",0.415782701667184,0.362994145536087,-0.27793843226756,0.527918130702472,0.224200694378129
"Q11",0.56643723189338,0.368530112455855,0.411984076330471,-0.117032807030648,0.200870684155584
"Q12",0.696715966698895,-0.285571950784055,0.117360607216083,-0.0991379779150039,0.0872590611917715
"Q13",0.626011010750549,-0.216290876029768,0.0563686576205521,-0.256757104930084,-0.4694333688076
"Q14",0.579882277852038,-0.248870239128587,0.241127597076309,-0.32153690565794,0.0967519169221768
"Q15",0.500639061058191,0.394586620542236,0.205507997454002,0.306992350778978,-0.532852482107701
"Q16",0.518913532241572,0.593265961637858,0.0983135995952669,-0.241081596438661,-0.059972706155915
"Q17",0.520394758117877,0.456495089436543,0.0832947217479643,0.4381229586873,0.164307521763847
"Q18",0.430023597224839,0.39531731913484,0.0482105377698404,0.30742407712187,-0.413551801858382
"Q19",0.488370257081052,-0.0954236514966866,-0.672243319915048,-0.0344492079681441,-0.221891794064532
"Q20",0.620078781326801,-0.187219709736211,-0.298152856545529,-0.0876620993249549,0.128843645415563
"Q21",0.659134566909884,0.117454292775545,-0.463616369507448,-0.0117269471288717,0.295675754583976
"Q22",0.598341814471903,0.111436921087133,-0.59913500443327,-0.0958031755764954,-0.0220469246099375
"Q23",0.667974558286826,-0.476879709257343,0.121705222929769,-0.16384973063073,-0.0830944953099367
"Q24",0.645802814490806,-0.449132482817792,0.111413320297019,0.287755193973189,0.0819313580978157
"Q25",0.608833627907923,0.26482384709383,-0.320829290238704,-0.344238048905906,0.114295571100264
"Q26",0.748157601967411,-0.239937166912931,-0.0097100049974928,0.0520756448363227,-0.248891265282382
"Q27",0.613355317897785,-0.500802199433776,0.305094209983031,-0.0627766771768062,-0.0468185696789839
"Q28",0.379844231979539,-0.553809451821414,0.186221631427721,0.451343501073417,0.255238517334193
"Q29",0.583282302579003,-0.198329347986653,-0.100363302763455,-0.0364213115737486,0.0535064264685524
"Q30",0.737503800414385,-0.2656778784032,0.198118885556986,0.14474517444507,0.131371851186798
